Rank	Model	Arena Score	95% CI	# Votes	Generation Speed (RTF)	organization	license	training_data	supports_lyrics	access
1	riffusion-fuzz-1-0	1172.5	+97.5 / -68.5	144	5.6	Riffusion	Closed	Unspecified	True	Proprietary
2	riffusion-fuzz-1-1	1087.3	+46.2 / -48.6	218	5.25	Riffusion	Closed	Unspecified	True	Proprietary
3	preview-ocelot	1045.7	+93.6 / -63.4	90	5.42	Hidden	Closed	Unspecified	True	Proprietary
4	preview-jerboa	1034.4	+73.5 / -72.1	88	5.61	Hidden	Closed	Unspecified	True	Proprietary
5	acestep	660.1	+74.9 / -121.4	178	2.89	ACE Studio	Apache 2.0	Unspecified	True	Open weights
